index,식품명,식품중량,탄수화물(g),단백질(g),지방(g),에너지(kcal)
2585,아이스크림_투둠초콜릿 프레첼 아이스크림,115.0,30.43,3.48,11.3,237
2586,아이스크림_파핑파핑 바나나 아이스크림,115.0,25.22,2.61,10.43,205
2587,아이스크림_팝핑 스타 라이즈 아이스크림,115.0,33.04,1.74,7.83,210
2588,아이스크림_퐁스크림,100.0,0.0,2.46,0.0,175
2589,아이스크림_프??츠 커피 아이스크림,115.0,26.96,4.35,11.3,227
2590,아이스크림_피나콜라다 아이스크림,115.0,36.52,0.87,2.61,173
2591,아이스크림_피치 요거트 아이스크림,115.0,38.26,1.74,3.57,192
2592,아이스크림_하루한번하늘 그릭요거트,165.0,0.0,20.36,0.0,247
2593,아이스크림_흑당 아이스크림,100.0,34.19,1.94,1.74,162
2594,아이스크림_흑당아츄 아이스크림,100.0,37.44,2.56,4.62,202
2595,요구르트(액상)_그래놀라 요거트,390.0,8.03,1.3,2.66,61
2596,요구르트(액상)_그릭요거트,400.0,14.0,6.0,7.0,144
2597,아이스크림_요거트아이스크림,180.0,0.0,3.61,0.0,123
2598,아이스크림_요아정 아이스크림,150.0,23.4,3.11,1.83,123
2599,아이스크림_월넛 아이스크림,115.0,28.7,7.83,10.43,240
2600,아이스크림_인절미 아츄,305.0,44.59,6.36,8.52,298
2601,아이스크림_인절미 아이스크림,100.0,0.0,4.01,0.0,159
2602,아이스크림_찰떡이구마 아이스크림,115.0,31.3,3.48,7.83,210
2603,아이스크림_청포도 아이스크림,100.0,0.0,1.82,0.0,146
2604,아이스크림_초코 아몬드 봉봉 아이스크림,115.0,30.43,5.22,13.91,268
2605,아이스크림_초코 퐁당 쿠키런 아이스크림,115.0,31.3,3.48,15.65,280
2606,아이스크림_초코넛 마카다미아 아이스크림,115.0,27.83,3.48,12.17,235
2607,아이스크림_초코 아이스크림,100.0,24.0,3.2,4.8,152
2610,아이스크림_초코아츄 아이스크림,100.0,30.3,3.64,7.27,201
2611,아이스크림_초코야 민트해 아이스크림,115.0,32.17,3.48,15.65,283
2612,아이스크림_초콜릿 칩 아이스크림,115.0,23.48,3.48,13.91,233
2613,아이스크림_춘식이가 반할수박에 아이스크림,115.0,33.91,0.0,0.87,143
2614,아이스크림_치즈케이크마카롱판타지 요거트아이스크림,296.0,0.0,4.46,0.0,222
2615,아이스크림_스트로베리파라다이스 요거트아이스크림,450.0,0.0,2.51,0.0,119
2616,아이스크림_시나몬그래그래바나밤 요거트아이스크림,411.0,0.0,2.99,0.0,145
2617,아이스크림_시카고팝콘 아이스크림,115.0,25.22,3.48,13.04,232
2618,아이스크림_싱가포르의아침 그릭요거트,290.0,0.0,11.93,0.0,164
2619,아이스크림_아이스 노티드 우유 생크림 아이스크림,115.0,26.09,3.48,13.04,236
2620,아이스크림_아이스 노티드 클래식 바닐라 아이스크림,115.0,27.83,3.48,7.83,196
2621,아이스크림_아이스크림,100.0,20.0,2.5,2.92,113
2622,아이스크림_아이스크림츄러스,297.0,29.49,3.7,6.2,189
2623,아이스크림_아임베리파인 요거트아이스크림,320.0,0.0,3.09,0.0,134
2624,아이스크림_아츄 아이스크림,100.0,27.5,3.13,5.63,173
2625,아이스크림_알폰소 망고 아이스크림,115.0,29.57,2.61,9.57,215
2626,아이스크림_애플 민트 아이스크림,115.0,26.09,5.22,4.35,164
2627,아이스크림_에스프레소 앤 크림 아이스크림,115.0,22.61,4.35,7.83,178
2628,아이스크림_연유꿀자몽플라츠 요거트아이스크림,340.0,0.0,2.76,0.0,130
2629,아이스크림_연유베리플라츠 요거트아이스크림,320.0,0.0,2.88,0.0,136
2630,아이스크림_오레오 아츄,315.0,55.87,5.4,11.0,345
2631,아이스크림_오레오 쿠키 앤 크림치즈 아이스크림,115.0,28.7,4.35,14.78,265
2632,아이스크림_와이키키망고비치 요거트아이스크림,375.0,0.0,2.93,0.0,144
2633,아이스크림_레인보우샤베트 아이스크림,115.0,28.7,2.61,1.74,141
2634,아이스크림_리얼초콜릿오버로드 요거트아이스크림,279.0,0.0,4.19,0.0,232
2635,아이스크림_마법사의 할로윈 아이스크림,115.0,28.7,3.48,13.91,254
2636,아이스크림_마시는 요거트,100.0,4.0,3.0,4.1,65
2637,아이스크림_망고 아이스크림,100.0,0.0,1.66,0.0,136
2638,아이스크림_메이플아츄,311.0,51.67,4.28,7.59,296
2639,아이스크림_멜론멍키카바나나 요거트아이스크림,470.0,0.0,2.23,0.0,93
2640,아이스크림_몬스터 아이스크림,100.0,0.0,2.12,0.0,166
2641,아이스크림_바나나쥬빌레 아이스크림,115.0,24.35,2.61,12.17,217
2642,아이스크림_바닐라아몬드 크런치 아이스크림,115.0,26.96,6.09,9.57,218
2643,아이스크림_벅스 버니버니 당근당근 아이스크림,115.0,27.83,3.48,11.3,227
2644,아이스크림_벌집꿀허니넛 요거트아이스크림,260.0,0.0,4.62,0.0,209
2645,아이스크림_블랙 소르베 아이스크림,115.0,30.43,0.0,0.0,122
2646,아이스크림_블루베리 아이스크림,100.0,0.0,1.76,0.0,149
2647,아이스크림_사랑에 빠진 딸기 아이스크림,115.0,28.7,3.48,13.91,254
2648,아이스크림_소소한행복 그릭요거트,226.0,0.0,15.09,0.0,147
2649,아이스크림_소프트 아이스크림,210.0,21.62,3.0,4.5,139
2650,아이스크림_수퍼 펭귄 시리얼 아이스크림,115.0,28.7,3.48,14.78,262
2651,아이스크림_한입 요거트 트로피칼,150.0,0.0,2.0,0.0,181
2652,아이스크림_한입 요거트 파인애플,150.0,0.0,2.0,0.0,176
2653,아이스크림_허니 레몬 젤라또,100.0,0.0,1.6,0.0,129
2654,아이스크림_헤이즐넛초콜렛 젤라또,100.0,0.0,4.2,0.0,193
2655,아이스크림_호키포키 바닐라 아이스크림,100.0,0.0,2.0,0.0,121
2656,아이스크림_홍시 아이스드림,300.0,0.0,2.0,0.0,176
2657,아이스크림_화이트초콜릿라즈베리 아이스크림,100.0,0.0,2.0,0.0,114
2658,아이스크림_31 올스타 아이스크림,115.0,30.43,3.48,13.04,253
2659,아이스크림_구름 속 시나모롤 아이스크림,115.0,31.3,3.48,10.43,233
2660,아이스크림_그릭요거트,100.0,7.45,6.67,8.77,135
2661,아이스크림_녹차 아이스크림,103.0,51.75,4.27,10.1,313
2662,아이스크림_뉴욕치즈케이크아츄,317.0,47.63,6.18,18.17,382
2663,아이스크림_다크 초코 나이트 아이스크림,115.0,33.91,4.35,16.52,302
2664,아이스크림_데코콘 아이스크림,98.0,49.9,5.31,11.33,323
2665,아이스크림_디노 젤리 아이스크림,115.0,28.7,3.48,10.43,223
2666,아이스크림_라이언망고 마카롱 아이스크림,115.0,30.43,2.61,6.96,195
2667,아이스크림_러브미 아이스크림,115.0,25.22,3.48,11.3,217
2668,아이스크림_레드 라즈베리 소르베 아이스크림,115.0,32.17,0.0,0.0,129
2669,아이스크림_쿠키 & 크림 젤라또,100.0,0.0,3.6,0.0,168
2670,아이스크림_쿠키앤크림 아이스크림,100.0,0.0,2.0,0.0,130
2672,아이스크림_크리미 요거트 젤라또,100.0,0.0,3.2,0.0,172
2673,아이스크림_키위 아이스드림,300.0,0.0,2.0,0.0,169
2674,아이스크림_트리플민초 아이스크림 레디팩,100.0,0.0,3.9,0.0,203
2675,아이스크림_티라미수 밀크 아이스크림,120.0,0.0,2.5,0.0,100
2676,아이스크림_티라미수 젤라또,100.0,0.0,4.2,0.0,165
2678,아이스크림_프룻포레스트 요거트 아이스크림,100.0,0.0,3.7,0.0,180
2679,아이스크림_플레인 밀크 아이스크림,120.0,0.0,2.83,0.0,79
2680,아이스크림_플레인 요거트 아이스크림(2인),240.0,0.0,2.5,0.0,170
2681,아이스크림_플레인 요거트 아이스크림,120.0,0.0,1.67,0.0,168
2682,아이스크림_피넛버터 & 젤리 젤라또,100.0,0.0,5.4,0.0,202
2683,아이스크림_피스타치오아몬드 아이스크림,115.0,24.35,6.09,15.65,263
2684,아이스크림_한입 요거트 딸기,150.0,0.0,2.0,0.0,153
2685,아이스크림_한입 요거트 망고,150.0,0.0,2.0,0.0,155
2686,아이스크림_한입 요거트 복숭아,150.0,0.0,2.0,0.0,181
2687,아이스크림_찰떡팥 젤라또 (더블),180.0,0.0,1.11,0.0,146
2688,아이스크림_찰떡팥 젤라또 (싱글),90.0,0.0,1.11,0.0,147
2689,아이스크림_체리쥬빌레 아이스크림 레디팩,100.0,0.0,2.58,0.0,187
2690,아이스크림_체리쥬빌레 아이스크림,115.0,27.83,2.61,9.57,208
2691,아이스크림_초코나무숲 아이스크림,115.0,29.57,6.09,12.17,252
2692,아이스크림_초코렛 젤라또,100.0,0.0,4.3,0.0,193
2693,아이스크림_초코릿 엑스타시 아이스크림,100.0,0.0,2.0,0.0,132
2694,아이스크림_초코크런치 젤라또,140.0,0.0,2.86,0.0,243
2695,아이스크림_초콜릿 아포가토,107.0,0.0,3.74,0.0,216
2696,아이스크림_초콜릿무스 아이스크림,115.0,29.57,4.35,15.65,277
2697,아이스크림_초콜릿 아이스크림,115.0,27.83,4.35,12.17,238
2698,아이스크림_초콜릿파르페 아이스(ICED) (Short),245.0,0.0,3.27,0.0,259
2699,아이스크림_카라멜 젤라또,100.0,0.0,3.2,0.0,171
2700,아이스크림_카초멜리아 젤라또,100.0,0.0,3.7,0.0,182
2701,아이스크림_카페 모카 젤라또,100.0,0.0,3.3,0.0,159
2702,아이스크림_카페 에스프레소 아이스크림,100.0,0.0,2.0,0.0,126
2703,아이스크림_콜드브루 리코타치즈 아포가토 디카페인,205.0,0.0,1.95,0.0,155
2704,아이스크림_콜드브루 바닐라 아포가토 디카페인,205.0,0.0,1.95,0.0,159
2705,아이스크림_오레오쿠키앤크림 아이스크림 레디팩,100.0,0.0,2.97,0.0,191
2706,아이스크림_요거트 (더블),180.0,0.0,2.78,0.0,154
2707,아이스크림_요거트 (싱글),90.0,0.0,2.22,0.0,154
2708,아이스크림_요거트 아이스크림 (3인),360.0,0.0,2.5,0.0,171
2709,아이스크림_요거트 젤라또,100.0,0.0,2.6,0.0,150
2710,아이스크림_월넛버터 스카치 아이스크림,100.0,0.0,4.5,0.0,265
2711,아이스크림_유기농 아이스크림 바닐라,120.0,0.0,2.5,0.0,169
2712,아이스크림_유기농 아이스크림 초콜릿,120.0,0.0,3.33,0.0,183
2713,아이스크림_이상한나라의솜사탕 아이스크림,115.0,28.7,4.35,13.04,250
2714,아이스크림_자모카아몬드훠지 아이스크림,115.0,29.57,4.35,11.3,237
2715,아이스크림_자바 칩 바닐라 아포가토,117.0,0.0,3.42,0.0,222
2716,아이스크림_자바 칩 유기농 아이스크림 바닐라,96.0,0.0,4.17,0.0,266
2717,아이스크림_자바 칩 유기농 아이스크림 초콜릿,96.0,0.0,5.21,0.0,290
2718,아이스크림_자바 칩 초콜릿 아포가토,117.0,0.0,4.27,0.0,242
2719,아이스크림_제주녹차 (더블),180.0,0.0,3.33,0.0,194
2720,아이스크림_제주녹차 (싱글),90.0,0.0,3.33,0.0,194
2721,아이스크림_쫀떡궁합 아이스크림,115.0,29.57,4.35,12.17,245
2722,아이스크림_찰떡꽁떡 아이스크림,100.0,0.0,3.0,0.0,140
2723,아이스크림_스트로베리 치즈 아이스크림,161.0,0.0,2.48,0.0,179
2724,아이스크림_시그니처 콜드브루 리코타치즈 아포가토,205.0,0.0,1.95,0.0,155
2725,아이스크림_시그니처 콜드브루 바닐라 아포가토,205.0,0.0,1.95,0.0,160
2726,아이스크림_쌀떡궁합 아이스크림,100.0,0.0,1.96,0.0,138
2727,아이스크림_아몬드봉봉 아이스크림,115.0,32.17,4.35,13.91,271
2728,아이스크림_아이스마카롱 체리쥬빌레,83.0,0.0,5.82,0.0,295
2729,아이스크림_아이스마카롱 쿠키앤크림,83.0,0.0,5.82,0.0,308
2730,아이스크림_아이스죠리퐁 아이스크림 레디팩,100.0,0.0,2.57,0.0,173
2731,아이스크림_스틱바민트쿠앤크 아이스크림,100.0,0.0,3.0,0.0,265
2732,아이스크림_스틱바초코그린티 아이스크림,100.0,0.0,3.65,0.0,225
2733,아이스크림_아이스크림롤 바닐라,32.0,0.0,6.25,0.0,328
2734,아이스크림_아이스크림롤 초콜릿,32.0,0.0,6.25,0.0,328
2735,아이스크림_아포가토,180.0,8.89,1.67,6.11,97
2736,아이스크림_엄마는외계인 아이스크림,115.0,28.7,4.35,13.91,257
2737,아이스크림_에스프레소 (더블),180.0,0.0,2.78,0.0,156
2738,아이스크림_에스프레소 (싱글),90.0,0.0,2.22,0.0,156
2739,아이스크림_오란다 요거트,130.0,0.0,4.81,0.0,326
2740,아이스크림_오레오쿠키앤카라멜 아이스크림 레디팩,100.0,0.0,2.76,0.0,199
2741,아이스크림_블록팩 초콜릿무스 아이스크림,100.0,0.0,3.49,0.0,237
2742,아이스크림_블록팩 쿠키앤크림 아이스크림,100.0,0.0,3.32,0.0,216
2743,아이스크림_블루밍 콜드브루 리코타치즈 아포가토,205.0,0.0,1.95,0.0,155
2744,아이스크림_블루밍 콜드브루 바닐라 아포가토,205.0,0.0,1.95,0.0,155
2745,아이스크림_블루베리 라떼 젤라또,100.0,0.0,1.5,0.0,123
2746,아이스크림_블루베리 솔베 젤라또,100.0,0.0,0.3,0.0,118
2748,아이스크림_블루베리 요거트 젤라또,100.0,0.0,2.4,0.0,148
2749,아이스크림_블루베리 치즈 아이스크림,144.0,0.0,2.78,0.0,193
2750,아이스크림_소프트 아이스크림 (컵),110.0,0.0,2.73,0.0,159
2751,아이스크림_소프트 아이스크림 (콘),135.0,0.0,4.44,0.0,241
2752,아이스크림_솔티드 카라멜 젤라또,100.0,0.0,3.2,0.0,167
2753,아이스크림_솔티드 카초멜리아 젤라또,100.0,0.0,3.8,0.0,180
2754,아이스크림_솜사탕 젤라또,100.0,0.0,1.3,0.0,119
2755,아이스크림_슈팅스타 아이스크림 레디팩,100.0,0.0,2.77,0.0,189
2756,아이스크림_슈팅스타 아이스크림,115.0,30.43,2.61,10.43,226
2757,아이스크림_스트라치아텔라 젤라또,100.0,0.0,3.8,0.0,177
2758,아이스크림_스트로베리 아이스크림,100.0,0.0,2.0,0.0,115
2759,아이스크림_바닐라 아포가토,205.0,0.0,1.95,0.0,156
2760,아이스크림_바닐라 젤라또,100.0,0.0,3.6,0.0,166
2761,아이스크림_바닐라 클래식 아이스크림,100.0,0.0,2.0,0.0,115
2762,아이스크림_바닐라 아이스크림,115.0,22.61,3.48,12.17,214
2763,아이스크림_바닐라아포가토,159.0,0.0,2.52,0.0,208
2764,아이스크림_바닐라품었슈,139.0,0.0,1.73,0.0,122
2765,아이스크림_바람과함께사라지다 아이스크림,115.0,29.57,3.48,11.3,234
2766,아이스크림_베리베리스트로베리 아이스크림 레디팩,100.0,0.0,2.48,0.0,132
2767,아이스크림_베리베리스트로베리 아이스크림,115.0,23.48,2.61,10.43,198
2768,아이스크림_보이즌 베리드림 아이스크림,100.0,0.0,3.0,0.0,220
2769,아이스크림_복숭아 젤라또,100.0,0.0,1.6,0.0,130
2770,아이스크림_블록팩 뉴욕치즈 케이크 아이스크림,100.0,0.0,3.42,0.0,226
2771,아이스크림_블록팩 바람과함께사라지다 아이스크림,100.0,0.0,2.9,0.0,201
2772,아이스크림_블록팩 슈팅스타 아이스크림,100.0,0.0,2.47,0.0,207
2773,아이스크림_블록팩 아몬드봉봉 아이스크림,100.0,0.0,3.16,0.0,217
2774,아이스크림_블록팩 엄마는외계인 아이스크림,100.0,0.0,3.09,0.0,218
2775,아이스크림_블록팩 이상한나라의솜사탕 아이스크림,100.0,0.0,3.05,0.0,210
2776,아이스크림_블록팩 체리쥬빌레 아이스크림,100.0,0.0,2.52,0.0,185
2777,아이스크림_망고탱고 아이스크림 레디팩,100.0,0.0,2.4,0.0,177
2778,아이스크림_망고탱고 아이스크림,115.0,26.96,2.61,6.09,173
2779,아이스크림_망고패션 젤라또,140.0,0.0,0.54,0.0,129
2780,아이스크림_멜론 젤라또,140.0,0.0,1.43,0.0,114
2781,"아이스크림_미니 스노우모찌(그린티, 스트로베리, 망고)",96.0,0.0,4.54,0.0,270
2782,아이스크림_민트 초코 젤라또,100.0,0.0,3.3,0.0,181
2783,아이스크림_민트초코칩 아이스크림,100.0,0.0,3.8,0.0,250
2784,아이스크림_민트초콜릿칩 아이스크림 레디팩,100.0,0.0,3.67,0.0,192
2785,아이스크림_민트초콜릿칩 아이스크림,115.0,23.48,3.48,13.04,225
2786,아이스크림_밀크 아포가토,140.0,0.0,2.86,0.0,79
2787,아이스크림_밀크 아이스크림,150.0,17.33,4.0,0.0,188
2788,아이스크림_바나나 속 초코칩 젤라또,100.0,0.0,3.7,0.0,185
2789,아이스크림_바나나 젤라또,100.0,0.0,3.7,0.0,170
2790,아이스크림_바나나 품은 헤이즐넛 초코렛 젤라또,100.0,0.0,4.0,0.0,193
2791,아이스크림_바닐라 (더블),180.0,0.0,2.78,0.0,213
2792,아이스크림_바닐라 (싱글),90.0,0.0,2.22,0.0,213
2793,아이스크림_바닐라 빈 젤라또,100.0,0.0,3.6,0.0,165
2795,아이스크림_라떼 젤라또,140.0,0.0,5.0,0.0,214
2796,아이스크림_럭키카라멜터틀 아이스크림,100.0,0.0,2.09,0.0,126
2797,아이스크림_레드 포레스트 젤라또,100.0,0.0,2.8,0.0,155
2798,아이스크림_레몬 젤라또,100.0,0.0,0.5,0.0,118
2799,아이스크림_레인보우 아이스크림,100.0,0.0,2.0,0.0,114
2800,아이스크림_로얄밀크티파르페 아이스(ICED) (Short),247.0,0.0,2.83,0.0,251
2801,아이스크림_로투스비스코프 아이스크림 레디팩,100.0,0.0,2.7,0.0,219
2802,아이스크림_리코타 젤라또,100.0,0.0,4.1,0.0,164
2803,아이스크림_리코타치즈 (더블),180.0,0.0,2.78,0.0,206
2804,아이스크림_리코타치즈 (싱글),90.0,0.0,2.22,0.0,206
2805,아이스크림_리코타치즈 아포가토,205.0,0.0,1.95,0.0,151
2806,아이스크림_마스카포네치즈 젤라또,100.0,0.0,4.4,0.0,179
2807,아이스크림_망고 (더블),180.0,0.0,0.56,0.0,109
2808,아이스크림_망고 라떼 젤라또,100.0,0.0,1.6,0.0,124
2809,아이스크림_망고 솔베 젤라또,100.0,0.0,0.4,0.0,121
2810,아이스크림_망고 아이스드림,300.0,0.0,1.67,0.0,166
2812,아이스크림_망고 요거트 젤라또,100.0,0.0,2.4,0.0,148
2813,아이스크림_끼리크림치즈앤스트로베리 아이스크림 레디팩,100.0,0.0,4.38,0.0,216
2814,아이스크림_너는참달고나 아이스크림 레디팩,100.0,0.0,2.85,0.0,178
2815,아이스크림_노말한소프트 아이스크림,225.0,0.0,1.78,0.0,148
2816,아이스크림_뉴욕치즈 케이크 아이스크림 레디팩,100.0,0.0,3.48,0.0,196
2817,아이스크림_뉴욕치즈 케이크 아이스크림,115.0,29.57,5.22,13.04,257
2818,아이스크림_다크초코렛 젤라또,100.0,0.0,3.7,0.0,168
2819,아이스크림_다크초콜릿 (더블),180.0,0.0,3.89,0.0,196
2820,아이스크림_다크초콜릿 (싱글),90.0,0.0,3.33,0.0,196
2821,아이스크림_달고나크런치 아이스크림,250.0,0.0,1.96,0.0,174
2822,아이스크림_더블 초코 바나나 젤라또,100.0,0.0,3.9,0.0,188
2823,아이스크림_딸기 (싱글),109.0,0.0,0.0,0.0,100
2824,아이스크림_딸기 라떼 젤라또,100.0,0.0,1.6,0.0,121
2825,아이스크림_딸기 솔베 젤라또,100.0,0.0,0.5,0.0,103
2826,아이스크림_딸기 아이스드림,300.0,0.0,2.0,0.0,167
2827,아이스크림_딸기 요거트 젤라또,100.0,0.0,2.4,0.0,146
2828,아이스크림_딸기 파르페,263.0,0.0,0.99,0.0,252
2829,아이스크림_딸기라떼 젤라또,140.0,0.0,2.86,0.0,139
2830,아이스크림_땅콩 바나나 젤라또,100.0,0.0,5.0,0.0,195
2831,빙수_복고 빙수,605.0,0.0,1.02,0.0,55
2832,빙수_블루베리 빙수,100.0,0.0,2.93,0.0,117
2833,빙수_오레오초코 빙수,100.0,0.0,3.32,0.0,141
2834,빙수_오미자두빙수,893.0,0.0,0.22,0.0,54
2835,빙수_인절미 빙수,100.0,0.0,4.9,0.0,149
2836,빙수_초당옥빙수,547.0,0.0,1.83,0.0,122
2837,빙수_컵빙수,473.0,0.0,1.1,0.0,111
2838,빙수_티라미수 빙수,578.0,0.0,1.56,0.0,112
2839,빙수_팥빙수,225.0,50.22,4.44,5.33,269
2840,빙수_흑임자 컵빙수,473.0,0.0,1.48,0.0,107
2841,샤베트_메론코코샤베트,470.0,11.09,0.11,0.0,45
2842,샤베트_블루파인 샤베트,470.0,9.36,0.23,0.17,40
2843,샤베트_와인 샤베트,470.0,17.66,0.21,0.43,74
2844,아이스크림_31요거트 아이스크림,115.0,26.96,4.35,5.22,172
2845,아이스크림_그린티 아이스크림,100.0,0.0,4.2,0.0,230
2846,아이스크림_그린티 젤라또,100.0,0.0,4.0,0.0,161
2847,아이스크림_그린티 티라미수 젤라또,100.0,0.0,4.4,0.0,178
2849,아이스크림_꿀 자몽 젤라또,100.0,0.0,1.3,0.0,143
2850,빙수_키위 아이스드림 빙수,960.0,0.0,0.63,0.0,50
2851,빙수_트러플 초코 스노우 빙수,360.0,0.0,2.78,0.0,163
2852,빙수_티라미수케이크 빙수,476.0,0.0,2.73,0.0,179
2853,빙수_팥 빙수 (1인),389.0,0.0,4.37,0.0,162
2854,빙수_팥 빙수,982.0,0.0,3.97,0.0,150
2855,빙수_팥인절미 1인빙수,327.0,0.0,4.59,0.0,177
2856,빙수_팥인절미 눈꽃빙수,509.0,0.0,3.34,0.0,151
2857,빙수_피치&망고 요거트 빙수,520.0,0.0,1.92,0.0,133
2858,빙수_홍시 아이스드림 빙수,960.0,0.0,0.63,0.0,48
2859,빙수_흑임자 팥빙수,960.0,0.0,1.56,0.0,93
2860,빙수_K - 빙수,575.0,0.0,2.61,0.0,166
2861,빙수_녹차 팥빙수,605.0,0.0,1.02,0.0,55
2862,빙수_레드빈 눈꽃 빙수,963.0,0.0,1.25,0.0,154
2863,빙수_말차티라미수 빙수,588.0,0.0,2.72,0.0,137
2864,빙수_망고 빙수,100.0,0.0,2.8,0.0,113
2865,빙수_망고탱탱 빙수,605.0,0.0,1.02,0.0,55
2866,빙수_밀크 팥빙수,100.0,0.0,4.92,0.0,160
2867,빙수_바나나누텔라 빙수,650.0,0.0,2.92,0.0,149
2868,빙수_베리크런치 빙수,640.0,0.0,2.34,0.0,154
2869,빙수_초코 씨리얼 빙수,545.0,24.61,6.44,3.89,159
2870,빙수_초코악마 빙수 (1인),333.0,0.0,2.7,0.0,137
2871,빙수_초코악마 빙수,816.0,0.0,1.59,0.0,110
2872,빙수_치즈 요거트 빙수,481.0,0.0,10.4,0.0,187
2873,빙수_치즈 컵빙수,100.0,18.19,1.03,3.53,109
2874,빙수_치즈베리 젤빙,491.0,0.0,2.66,0.0,126
2875,빙수_커피 빙수 (1인),352.0,0.0,3.13,0.0,135
2876,빙수_커피 빙수 디카페인 (1인),388.0,0.0,3.35,0.0,142
2877,빙수_커피 빙수 디카페인,892.0,0.0,2.69,0.0,126
2878,빙수_커피 빙수,868.0,0.0,1.73,0.0,107
2879,빙수_코코넛커피 (1인),386.0,0.0,1.81,2.82,128
2880,빙수_콩고물 스노우 빙수,414.0,0.0,4.83,0.0,139
2881,빙수_콩고물 팥빙수,960.0,0.0,1.88,0.0,85
2882,빙수_쿠앤크 눈꽃 우유얼음,550.0,0.0,2.44,0.0,175
2883,빙수_쿠앤크 눈꽃빙수,718.0,0.0,2.01,0.0,156
2884,빙수_쿠키앤크림 빙수 (1인),373.0,0.0,2.68,0.0,169
2885,빙수_쿠키앤크림 빙수,778.0,0.0,2.57,0.0,140
2886,빙수_클래식 컵빙수,380.0,0.0,1.84,0.0,133
2887,빙수_클래식 쿨빙수,892.0,0.0,2.24,0.0,103
2888,빙수_애플망고 치즈 케이크 빙수 (1인),273.0,0.0,1.83,0.0,116
2889,빙수_애플망고 치즈 케이크 빙수 (2인),565.0,0.0,1.77,0.0,115
2890,빙수_애플망고케이크 빙수,508.0,0.0,1.38,0.0,126
2891,빙수_애플망고,521.0,0.0,0.19,0.0,73
2892,빙수_옛날 컵빙수,100.0,23.41,1.73,1.78,117
2894,빙수_옛날팥빙수,900.0,0.0,2.67,0.0,101
2895,빙수_오곡 팥 눈꽃빙수,619.0,0.0,2.84,0.0,126
2896,빙수_오곡 팥 얼음빙수,409.0,0.0,3.79,0.0,181
2897,빙수_오곡 팥 컵빙수,285.0,0.0,2.7,0.0,139
2898,빙수_오리지널 눈꽃 빙수,405.0,24.2,4.69,0.0,138
2899,빙수_오리지널 대패빙수,593.0,0.0,2.53,0.0,112
2900,빙수_오리지널 팥빙수,658.0,24.01,3.95,0.0,156
2901,빙수_인절미 눈꽃빙수,574.0,0.0,4.7,0.0,167
2902,빙수_제주 한라봉 빙수,670.0,23.85,6.76,2.5,145
2903,빙수_제주녹차 (1인),356.0,0.0,3.93,0.0,151
2904,빙수_제주녹차,840.0,0.0,3.21,0.0,129
2905,빙수_젤라또 팥,648.0,0.0,2.93,0.0,134
2906,빙수_청포도 젤라또,660.0,0.0,0.3,0.0,86
2907,빙수_망고파인 컵빙수,325.0,0.0,0.62,0.0,72
2908,빙수_망고패션 요거놀라 1인빙수,335.0,0.0,1.79,0.0,136
2909,빙수_밀크 눈꽃빙수 우유얼음,585.0,0.0,2.82,0.0,141
2910,빙수_밀크 눈꽃빙수,735.0,0.0,2.5,0.0,122
2911,빙수_밀크티 젤라또,620.0,0.0,1.61,0.0,106
2912,빙수_밀크팥 젤빙,456.0,0.0,2.76,0.0,160
2913,빙수_베리 컵빙수,305.0,0.0,0.98,0.0,73
2914,빙수_베리&베리 요거트 빙수,509.0,0.0,1.77,0.0,125
2915,빙수_복숭아 연유 대패빙수,550.0,0.0,1.09,0.0,91
2916,빙수_블루베리치즈 빙수,685.0,0.0,3.09,0.0,99
2917,빙수_블루베리케이크 빙수,507.0,0.0,1.78,0.0,128
2918,빙수_새콤달콤 패션망고,670.0,0.0,0.45,0.0,84
2919,빙수_소르베 망고 빙수,571.0,17.16,1.05,0.0,100
2920,빙수_실크 망고 빙수,504.0,0.0,0.6,0.0,88
2921,빙수_실크 팥빙수,524.0,0.0,2.29,0.0,121
2922,빙수_애플망고 도넛 눈꽃빙수,631.0,0.0,1.68,0.0,114
2923,빙수_애플망고 도넛 얼음빙수,421.0,0.0,2.04,0.0,146
2924,빙수_애플망고 도넛 컵빙수,244.0,0.0,1.68,0.0,177
2925,빙수_애플망고 치즈 대패빙수,515.0,0.0,0.58,0.0,102
2926,빙수_딸기시리얼컵빙수,355.0,0.0,1.41,0.0,131
2927,빙수_딸기 젤빙,481.0,0.0,1.58,0.0,108
2928,빙수_딸기치즈 눈꽃빙수 우유얼음,725.0,0.0,1.6,0.0,118
2929,빙수_딸기치즈 눈꽃빙수,540.0,0.0,2.04,0.0,159
2931,빙수_딸기피치 요거놀라 1인빙수,335.0,0.0,1.79,0.0,135
2932,빙수_딸콤파르페,481.0,0.0,1.17,0.0,103
2933,빙수_망고 눈꽃빙수,595.0,0.0,0.5,0.0,99
2935,빙수_망고 빙수 (1인),449.0,0.0,1.11,0.0,80
2937,빙수_망고 아이스드림 빙수,960.0,0.0,0.63,0.0,54
2938,빙수_망고 크림 젤빙,631.0,0.0,0.79,0.0,148
2939,빙수_망고 파인 쿨빙수,760.0,0.0,0.92,0.0,68
2940,빙수_망고&치즈 스노우 빙수,508.0,0.0,1.57,0.0,134
2942,빙수_망고 젤빙,529.0,0.0,1.73,0.0,106
2943,빙수_망고코코넛 (1인),399.0,0.0,1.88,2.38,128
2944,빙수_망고코코넛,950.0,0.0,1.91,2.8,117
